Name:,,,,Badge #:,162,Rank:,
Week 2,,,,,,,
Shift\Day,06/19,06/20,06/21,06/22,06/23,06/24,06/25
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
Hill Patrol 1100 - 1500,,,,,,,6
University Hall 1445 - 1815,,x,4,4,4,4,
Berkeley Way West 1545 - 1815,,x,5,5,5,5,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,x,x,x,x,x,x,x
Dispatch (Escort IC)   1900 - 0300,x,x,8,8,8,8,8
Early Escort       1900 - 0100,x,x,9,9,9,9,9
RSSP Blackwell          2015 - 0115,x,x,1,1,1,1,1
Late Escort       2100 - 0300,x,x,10,10,10,10,10
Units CSO   2100 - 0200,x,x,7,7,7,7,7
RSSP IC               2230 - 0330,x,x,x,x,x,x,x
Number of Shifts for Week 2:,4-5,,,Number of Hours for Week 2:,30-40,,
*Please fill out one or the other*,,,,,,,
Additional Info:,,,,,,,
