Name:,,,,Badge #:,176,Rank:,PC
Week 2,,,,,,,
Shift\Day,06/19,06/20,06/21,06/22,06/23,06/24,06/25
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
Hill Patrol 1100 - 1500,,,,,,,
University Hall 1445 - 1815,,,,,,,
Berkeley Way West 1545 - 1815,,,,,,,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,1,,,,,,1
Dispatch (Escort IC)   1900 - 0300,,,,,,,1
Early Escort       1900 - 0100,,,,,,,9
RSSP Blackwell          2015 - 0115,1,,,,,,1
Late Escort       2100 - 0300,,,,,,,9
Units CSO   2100 - 0200,,,,,,,
RSSP IC               2230 - 0330,,,,,,,
Number of Shifts for Week 2:,2,,,Number of Hours for Week 2:,,,
*Please fill out one or the other*,,,,,,,
Additional Info:,,,,,,,
