Name:,,,,Badge #:,162,Rank:,FTO
Week 1,,,,,,,
Shift\Day,07/24,07/25,07/26,07/27,07/28,07/29,07/30
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
UHS – RSF AM 0815 - 1215,,,,,,,
UHS – RSF PM 1215 - 1645,,,,,,,
University Hall 1445 - 1815,,,,,,,
Berkeley Way West 1545 - 1815,,1,1,1,1,1,
"Bechtel 1745-2200 
Escort swing: 2200-0000",,,,,,,
Supervisor 1800 - 0000,X,X,X,X,X,X,X
Dispatch (Escort IC) 1900 - 0300,X,3,3,3,3,3,3
Early Escort 1900 - 0100,X,4,4,4,4,4,4
RSSP Blackwell          2015 - 0115,X,1,1,1,1,1,1
Late Escort       2100 - 0300,X,5,5,5,5,5,5
Units CSO   2100 - 0200,X,2,2,2,2,2,2
RSSP IC               2230 - 0330,X,X,X,X,X,X,X
Number of Shifts for Week 1:,6-7,,,Number of Hours for Week 1:,40-45,,
*Please fill out one or the other*,,,,,,,
Additional Info:,Please leave 9 hrs between a late shift and an early shift. ,,,,,,
